"","grid_range","z"
"1","grid1",17.019
"2","grid2",17.315
"3","grid3",17.028
"4","grid4",17.033
"5","grid5",15.188
"6","grid6",15.76
"7","grid7",16.649
"8","grid8",17.289
"9","grid9",17.309
"10","grid10",17.231
"11","grid11",17.082
"12","grid12",16.891
"13","grid13",16.762
"14","grid14",16.726
"15","grid15",17.154
"16","grid16",16.176
"17","grid17",14.172
"18","grid18",14.451
"19","grid19",15.595
"20","grid20",13.631
"21","grid21",15.703
"22","grid22",16.235
"23","grid23",16.301
"24","grid24",16.298
"25","grid25",16.12
"26","grid26",16.391
"27","grid27",15.45
"28","grid28",16.241
"29","grid29",16.751
"30","grid30",17.018
"31","grid31",17.035
"32","grid32",16.945
"33","grid33",16.924
"34","grid34",16.925
"35","grid35",16.664
"36","grid36",16.307
"37","grid37",16.723
"38","grid38",16.307
"39","grid39",16.939
"40","grid40",16.989
"41","grid41",16.595
"42","grid42",16.529
"43","grid43",16.218
"44","grid44",17.457
"45","grid45",17.299
"46","grid46",16.987
"47","grid47",17.008
"48","grid48",15.635
"49","grid49",17.134
"50","grid50",17.115
"51","grid51",17.179
"52","grid52",17.184
"53","grid53",16.545
"54","grid54",17.036
"55","grid55",16.976
"56","grid56",17.057
"57","grid57",17.112
"58","grid58",17.245
"59","grid59",15.766
"60","grid60",15.353
"61","grid61",15.42
"62","grid62",14.838
"63","grid63",16.307
"64","grid64",16.315
"65","grid65",16.449
"66","grid66",16.79
"67","grid67",16.913
"68","grid68",16.446
"69","grid69",15.767
"70","grid70",16.271
"71","grid71",17.065
"72","grid72",17.003
"73","grid73",16.927
"74","grid74",16.967
"75","grid75",16.9
"76","grid76",16.85
"77","grid77",16.602
"78","grid78",16.681
"79","grid79",16.721
"80","grid80",16.859
"81","grid81",16.905
"82","grid82",16.945
"83","grid83",16.493
"84","grid84",16.555
"85","grid85",16.186
"86","grid86",16.264
"87","grid87",17.364
"88","grid88",17.018
"89","grid89",16.824
"90","grid90",17.06
"91","grid91",16.758
"92","grid92",17.298
"93","grid93",17.371
"94","grid94",16.902
"95","grid95",16.805
"96","grid96",16.809
"97","grid97",15.242
"98","grid98",16.165
"99","grid99",16.978
"100","grid100",17.019
"101","grid101",17.161
"102","grid102",16.289
"103","grid103",16.45
"104","grid104",15.752
"105","grid105",16.193
"106","grid106",16.309
"107","grid107",15.657
"108","grid108",15.883
"109","grid109",16.528
"110","grid110",16.794
"111","grid111",16.604
"112","grid112",16.697
"113","grid113",17.055
"114","grid114",16.994
"115","grid115",16.935
"116","grid116",16.914
"117","grid117",16.21
"118","grid118",16.83
"119","grid119",16.586
"120","grid120",16.627
"121","grid121",16.718
"122","grid122",16.799
"123","grid123",16.858
"124","grid124",16.908
"125","grid125",16.813
"126","grid126",16.83
"127","grid127",16.828
"128","grid128",16.026
"129","grid129",17.199
"130","grid130",16.887
"131","grid131",16.605
"132","grid132",16.879
"133","grid133",17.24
"134","grid134",17.255
"135","grid135",17.159
"136","grid136",17.164
"137","grid137",16.977
"138","grid138",17.293
"139","grid139",17.034
"140","grid140",16.671
"141","grid141",16.48
"142","grid142",16.918
"143","grid143",16.959
"144","grid144",16.913
"145","grid145",16.615
"146","grid146",16.212
"147","grid147",16.242
"148","grid148",16.414
"149","grid149",15.826
"150","grid150",15.103
"151","grid151",17.116
"152","grid152",17.172
"153","grid153",16.734
"154","grid154",16.953
"155","grid155",16.99
"156","grid156",16.988
"157","grid157",16.646
"158","grid158",15.03
"159","grid159",16.893
"160","grid160",16.824
"161","grid161",16.853
"162","grid162",16.406
"163","grid163",16.36
"164","grid164",16.505
"165","grid165",16.752
"166","grid166",16.882
"167","grid167",16.843
"168","grid168",16.84
"169","grid169",16.843
"170","grid170",16.106
"171","grid171",17.146
"172","grid172",16.958
"173","grid173",16.224
"174","grid174",17.465
"175","grid175",17.261
"176","grid176",17.134
"177","grid177",17.115
"178","grid178",17.086
"179","grid179",17.043
"180","grid180",17.283
"181","grid181",17.471
"182","grid182",16.358
"183","grid183",16.748
"184","grid184",16.97
"185","grid185",16.925
"186","grid186",16.827
"187","grid187",16.77
"188","grid188",16.239
"189","grid189",16.301
"190","grid190",16.401
"191","grid191",16.401
"192","grid192",16.513
"193","grid193",16.69
"194","grid194",16.973
"195","grid195",17.076
"196","grid196",16.976
"197","grid197",16.978
"198","grid198",16.478
"199","grid199",16.396
"200","grid200",16.481
"201","grid201",16.775
"202","grid202",16.796
"203","grid203",16.805
"204","grid204",16.366
"205","grid205",16.229
"206","grid206",16.445
"207","grid207",16.294
"208","grid208",16.513
"209","grid209",16.865
"210","grid210",16.853
"211","grid211",16.187
"212","grid212",16.4
"213","grid213",17.163
"214","grid214",17.112
"215","grid215",17.515
"216","grid216",17.43
"217","grid217",17.29
"218","grid218",17.249
"219","grid219",16.974
"220","grid220",16.922
"221","grid221",16.777
"222","grid222",17.138
"223","grid223",17.415
"224","grid224",16.803
"225","grid225",16.634
"226","grid226",17.007
"227","grid227",16.825
"228","grid228",16.796
"229","grid229",16.809
"230","grid230",15.587
"231","grid231",15.968
"232","grid232",16.079
"233","grid233",16.198
